user_id,line_no,station_no,on_site_time,lng,lat,run_id,station_id,dest,transfer
5.45048E+22,921,7,1602202639,109.39043,24.33809,18741010,29118,0,0
5.45048E+22,921,8,,109.40476,24.33511,18741010,29118,1,0
5.45048E+22,21,11,1602216986,109.40476,24.33511,18742576,30436,0,0
5.45048E+22,281,10,1602212054,109.38996,24.29409,18742070,28254,0,0
5.45048E+22,281,16,,109.40596,24.32255,18742070,28254,1,0
5.45048E+22,281,16,1602220302,109.40596,24.32255,18742806,28260,0,0
5.45048E+22,281,17,,109.40445,24.32148,18742806,28260,1,0
5.45048E+22,281,16,1602251599,109.40445,24.32148,18743904,28260,0,0
5.45048E+22,321,1,1602205619,109.38994,24.26392,18741459,26201,0,0
5.45048E+22,1001,43,1602226448,109.415,24.35831,18743422,31470,0,0
5.45048E+22,1001,7,1602241358,109.41414,24.35008,18744987,31434,0,0
5.45048E+22,901,7,1602224909,109.42984,24.32552,18743576,31401,0,0
5.45048E+22,901,6,1602215518,109.4407,24.32623,18742455,31400,0,0
5.45048E+22,901,9,,109.4086,24.32266,18742455,31400,1,1
5.45048E+22,921,11,1602216501,109.4086,24.32266,18742646,29122,0,0
5.45048E+22,921,19,,109.38261,24.32182,18742646,29122,1,0
5.45048E+22,671,9,1602231256,109.38261,24.32182,18744161,31597,0,0
5.45048E+22,671,13,,109.40677,24.31886,18744161,31597,1,1
5.45048E+22,901,24,1602232231,109.40677,24.31886,18744199,31418,0,0
5.45048E+22,161,11,1602216206,109.40846,24.29576,18742663,30904,0,0
5.45048E+22,161,26,,109.40553,24.30487,18742663,30904,1,1
5.45048E+22,621,12,1602219144,109.40553,24.30487,18742920,25869,0,0
5.45048E+22,641,28,1602236241,109.43717,24.33316,18744506,28041,0,0
5.45048E+22,581,32,1602198279,109.40857,24.34711,18740295,31298,0,0
5.45048E+22,581,36,,109.40456,24.32644,18740295,31298,1,0
5.45048E+22,11,23,1602241215,109.40456,24.32644,18745157,31110,0,0
5.45048E+22,161,15,1602198643,109.39218,24.30305,18740149,30908,0,0
5.45048E+22,161,19,,109.38515,24.30832,18740149,30908,1,1
5.45048E+22,8009,39,1602199745,109.38515,24.30832,18739890,31513,0,0
5.45048E+22,8009,44,,109.4157,24.3059,18739890,31513,1,1
5.45048E+22,61,5,1602204227,109.4157,24.3059,18741185,11103,0,0
5.45048E+22,8006,11,1602204749,109.43579,24.30382,18741256,30782,0,0
5.45048E+22,8001,8,1602223976,109.551,24.38202,18743449,29715,0,0
5.45048E+22,8001,36,,109.43919,24.32583,18743449,29715,1,1
5.45048E+22,621,22,1602226465,109.43919,24.32583,18743561,25879,0,0
5.45048E+22,731,10,1602207201,109.36253,24.32807,18741415,27805,0,0
5.45048E+22,731,14,,109.36854,24.31833,18741415,27805,1,0
5.45048E+22,271,6,1602242923,109.36854,24.31833,18745886,24878,0,0
5.45048E+22,181,24,1602209119,109.40543,24.3224,18741545,28450,0,0
5.45048E+22,181,36,,109.39499,24.36214,18741545,28450,1,0
5.45048E+22,181,10,1602233472,109.39499,24.36214,18744358,28436,0,0
5.45048E+22,8090,10,1602209403,109.45944,24.31341,18741693,29848,0,0
5.45048E+22,561,4,1602235223,109.39498,24.3625,18744446,13099,0,0
5.45048E+22,411,5,1602204938,109.42817,24.2829,18741393,28200,0,0
5.45048E+22,281,4,1602231541,109.38068,24.27412,18743850,28248,0,0
5.45048E+22,41,5,1602237704,109.43399,24.27965,18745228,26412,0,0
5.45048E+22,41,15,,109.40641,24.3165,18745228,26412,1,0
5.45048E+22,41,15,1602255228,109.40641,24.3165,18745878,26422,0,0
5.45048E+22,781,28,1602210704,109.40526,24.34187,18741260,31261,0,0
5.45048E+22,691,11,1602204811,109.41502,24.30622,18741060,28905,0,0
5.45048E+22,691,18,,109.42312,24.34674,18741060,28905,1,0
5.45048E+22,751,36,1602234336,109.42312,24.34674,18744647,27734,0,0
5.45048E+22,121,10,1602235873,109.43287,24.32566,18744779,31833,0,0
5.45048E+22,301,18,1602203490,109.40718,24.32249,18740108,25793,0,0
5.45048E+22,191,2,1602207158,109.40649,24.35929,18741591,31198,0,0
5.45048E+22,191,7,,109.40997,24.33908,18741591,31198,1,0
5.45048E+22,191,31,1602217500,109.40997,24.33908,18742313,31227,0,0
5.45048E+22,191,35,,109.40602,24.35291,18742313,31227,1,0
5.45048E+22,11,13,1602230194,109.40602,24.35291,18744218,31100,0,0
5.45048E+22,11,22,,109.40457,24.32323,18744218,31100,1,0
5.45048E+22,11,22,1602240183,109.40457,24.32323,18744979,31109,0,0
5.45048E+22,251,10,1602243281,109.39021,24.29025,18745906,27444,0,0
