user_id,vehicle_no,line_no,station_no,on_site_time,lng,lat,run_id,station_id,dest,transfer
54504754418566336350087,1832,671,5,1602239671.0,109.36804,24.3283,18744821,31593,0,0
54504754418566336350087,1816,141,1,1602240394.0,109.37781,24.32234,18745514,30575,0,0
54504754422894589642631,2452,331,7,1602201223.0,109.38357,24.29001,18740914,29574,0,0
54504754422894589642631,1606,8008,23,1602202938.0,109.38948,24.30891,18739878,31671,0,0
54504754422894589642631,2374,281,16,1602238099.0,109.40473,24.32274,18743866,28260,0,0
54504754423332676306823,2321,101,7,1602218929.0,109.32906,24.25725,18742793,27566,0,0
54504754423593595570055,2181,901,33,1602236061.0,109.4451,24.32138,18744941,31427,0,0
54504754425266485331847,2145,1001,38,1602230224.0,109.40996,24.33886,18744093,31465,0,0
54504754425266485331847,2259,191,1,1602232141.0,109.40102,24.36435,18744563,31197,0,0
54504754426579671582599,2120,821,15,1602198749.0,109.40939,24.33525,18740389,29996,0,0
54504754427674888243079,1882,351,10,1602205285.0,109.38116,24.33847,18740745,30403,0,0
54504754427674888243079,1882,351,23,1602205302.0,109.37996,24.33856,18740745,30416,0,0
54504754427674888243079,2074,291,26,1602209385.0,109.38315,24.31606,18741336,30627,0,0
54504754428995590686599,2472,691,18,1602218651.0,109.42077,24.34756,18742446,28912,0,0
54504754429384285226887,2260,251,10,1602235690.0,109.39086,24.29024,18744898,27444,0,0
54504754429604402300807,1812,5071,7,1602216721.0,109.37655,24.31021,18742619,19857,0,0
54504754429604402300807,1816,141,24,1602238415.0,109.37783,24.31037,18744602,30598,0,0
54504754430071479994247,1699,781,13,1602233770.0,109.41249,24.31818,18744095,31246,0,0
54504754431793761879943,2293,581,15,1602208990.0,109.40337,24.3178,18741677,31281,0,0
54504754431793761879943,2295,581,36,1602231108.0,109.4043,24.32627,18743922,31302,0,0
54504754434073315772295,1650,8008,13,1602238780.0,109.44163,24.33035,18745153,31661,0,0
54504754434300949038983,2278,621,23,1602202991.0,109.44412,24.32332,18740286,25880,0,0
54504754434300949038983,1735,8009,33,1602204447.0,109.41214,24.30568,18739899,31507,0,0
54504754434300949038983,1729,8009,41,1602212966.0,109.40128,24.30643,18741615,31515,0,0
54504754434300949038983,2279,621,16,1602215378.0,109.42805,24.30526,18742441,25873,0,0
54504754436218651936647,2100,8002,25,1602206857.0,109.42723,24.33312,18739845,17259,0,0
