line_no,station_no,actual_dis,Ave_travelTime,Ave_bus_stopTime,morningAve_travelTime,morningAve_bus_stopTime,noonAve_travelTime,noonAve_bus_stopTime,evenAve_travelTime,evenAve_bus_stopTime,otherAve_travelTime,otherAve_bus_stopTime
321,22,292,81.1835593086178,16.496101670346,65.8414285182953,15.7585714544569,63.911250025034,13.0012499392033,NaN,NaN,90.6721621526254,17.9224324097504
321,23,228,55.9700000447742,23.5333898027064,68.3871428625924,26.6271428380694,47.7900000214577,20.0600000023842,NaN,NaN,56.2583784219381,23.3145945652111
321,24,540,149.085762714936,28.2854237354408,154.350000023842,27.2999999920527,122.72625002265,28.3987499773502,NaN,NaN,150.477631575183,28.7618421190663
321,25,743,103.232033875029,38.4645762928462,130.349999944369,41.7500000397364,87.6374999880791,49.8375000357628,NaN,NaN,103.573421032805,36.6028947516492
321,26,618,208.294576297372,56.1986440319126,220.860000054042,51.6066666444143,185.819999959734,48.535555574629,NaN,NaN,212.082631613079,53.4673683768825
321,27,808,204.679830539024,35.7337287967488,221.477142913001,44.7942856379918,211.67999997139,35.0800000190735,NaN,NaN,201.787500050333,34.1458333068424
321,28,477,105.23135593382,20.1838982913454,163.504285710199,26.7385714394706,97.7400000095367,18.771111090978,NaN,NaN,94.9724999931124,19.0719444354375
321,29,402,68.781355930587,18.2559322179374,69.4285713945116,17.4142857619694,64.0800000031789,18.3200000392066,NaN,NaN,69.0074999994702,18.2119444476234
321,30,508,86.441186452316,16.1401694669562,76.8149999777476,14.0516666571299,90.7200000021193,15.7799999448988,NaN,NaN,86.1825000312593,16.7480555242962
321,31,312,47.0974576190367,13.9567796820301,44.6850000222524,13.6316666603088,46.170000049803,13.1633333365122,NaN,NaN,48.5224999719196,14.4830555915833
321,32,587,65.7961017034822,13.5072881165197,70.2000000079473,13.633333325386,65.0699999862247,13.2188888920678,NaN,NaN,65.6675000124507,13.5269444121255
321,33,417,50.1925423468574,9.24983054500515,47.2499999602636,8.88333340485891,48.5099999639723,8.97888888253106,NaN,NaN,50.4170270159438,9.34783787340731
321,34,204,29.7503389867686,12.5174576347157,29.4300000270208,10.3699999252955,29.0700000392066,12.6411111354828,NaN,NaN,30.3421621515944,12.7740540697768
321,35,550,74.6161016811759,14.7262711565373,57.5099999904633,12.9066666762034,76.2299999396006,15.7255555523766,NaN,NaN,76.1618918857059,15.0570269919731
321,36,499,47.9203390105296,10,48.6500000158946,10,57.7700000286102,10,NaN,NaN,48.500000026491,10
331,1,0,0,13.5087719298246,0,14.7142857142857,0,15.7142857142857,NaN,NaN,0,12.1891891891892
331,2,788,117.52105262405,20.0561403517138,128.642857108797,19.2142857483455,122.600000006812,17.9714285646166,NaN,NaN,116.218918909898,20.7189189227852
331,3,434,64.1715789510493,17.6003508818777,57.600000006812,16.6857142789023,66.7285714490073,17.8571428230831,NaN,NaN,65.4421621593269,17.9118919050371
331,4,461,80.0384210494527,17.4773684342702,84.7285714490073,18.1285714081355,69.1585714476449,15.7985714503697,NaN,NaN,81.2237837765668,17.2843243366963
331,5,364,64.7605262973852,20.2587719423729,71.7428571156093,21.9142857279096,65.7257142407554,17.1885714190347,NaN,NaN,64.1018918784889,19.9845946092863
331,6,479,113.876842101415,30.3915789336489,123.107142857143,19.5214285850525,81.4885714735304,33.3257142475673,NaN,NaN,119.746216206937,31.6024324185139
331,7,704,204.63824564114,30.2249122586167,215.228571414948,30,221.155714341572,42.3014285223825,NaN,NaN,200.110555582576,27.6811110907131
331,8,201,61.2410526275635,19.7957894969405,49.9371428489685,16.5485714503697,48.5871428762163,14.0128571646554,NaN,NaN,62.7883783739966,21.6332432643787
331,9,454,81.7950877181271,48.4171929652231,96.8857142925262,41.1571428435189,73.2471428598676,36.738571371351,NaN,NaN,79.5186486437514,53.557027017748
331,10,491,103.036491235097,23.0810526504851,97.7142857142857,17.9285714626312,91.9028571673802,17.3400000163487,NaN,NaN,110.282702710177,26.3335135240813
331,11,318,74.6991227844305,18.2166666608108,60.164999961853,15.7183333237966,57.7414285455431,13.2728571551187,NaN,NaN,83.3678378285588,20.372702695228
331,12,322,87.8233333386873,32.2714035050911,77.2328571592058,21.8814285823277,56.4557142598288,20.2728571551187,NaN,NaN,98.283611105548,38.4274999962913
331,13,495,141.482280697739,31.8107018052486,131.207142863955,27.4928571496691,134.472857134683,28.1557143756322,NaN,NaN,149.426111108727,34.535000052717
331,14,554,112.550877152828,34.19649120381,123.412857123784,55.7585714203971,108.565714223044,25.5628570829119,NaN,NaN,112.266111069255,33.508888873789
331,15,555,156.373684230604,37.596491232253,133.08571430615,36.1714285782405,150.917142902102,32.8114285809653,NaN,NaN,158.540277792348,41.2597222195731
